system:index,Date,LST_Mean,.geo
MOD11A2_005_2015_01_01,2015-01-01,37.606311737022885,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_01_09,2015-01-09,38.17500240045337,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_01_17,2015-01-17,37.2938704554101,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_01_25,2015-01-25,38.723902599855414,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_02_02,2015-02-02,39.173232969886044,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_02_10,2015-02-10,39.7803781197066,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_02_18,2015-02-18,39.37046191875538,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_02_26,2015-02-26,41.086043564759336,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_03_06,2015-03-06,41.2736659371921,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_03_14,2015-03-14,40.82432702482176,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_03_22,2015-03-22,34.080760623677506,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_03_30,2015-03-30,32.39392091163902,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_04_07,2015-04-07,34.29250489340912,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_04_15,2015-04-15,30.90853929389475,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_04_23,2015-04-23,31.34611254694429,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_05_01,2015-05-01,30.50086452609361,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_05_09,2015-05-09,31.12019273526538,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_05_17,2015-05-17,33.88280368396188,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_05_25,2015-05-25,32.420448116219994,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_06_02,2015-06-02,31.926143299275854,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_06_10,2015-06-10,31.68259660401176,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_06_18,2015-06-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_06_26,2015-06-26,32.8528503607358,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_07_04,2015-07-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_07_12,2015-07-12,32.389658910315376,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_07_20,2015-07-20,31.4075766194676,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_07_28,2015-07-28,32.84274802821846,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_08_05,2015-08-05,33.04541618471022,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_08_13,2015-08-13,35.18208111071955,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_08_21,2015-08-21,36.63439197788785,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_08_29,2015-08-29,36.5297031667128,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_09_06,2015-09-06,38.07269799380099,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_09_14,2015-09-14,38.876992456035865,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_09_22,2015-09-22,38.57217616016389,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_09_30,2015-09-30,37.473021159670694,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_10_08,2015-10-08,36.44070363692265,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_10_16,2015-10-16,35.89722341928881,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_10_24,2015-10-24,37.1857042616224,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_11_01,2015-11-01,31.369572165270014,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_11_09,2015-11-09,30.76450511452673,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_11_17,2015-11-17,31.152739896897693,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_11_25,2015-11-25,29.737542260833997,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_12_03,2015-12-03,31.3432584501579,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_12_11,2015-12-11,30.583758952279286,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_12_19,2015-12-19,31.9917824222285,"{""type"":""MultiPoint"",""coordinates"":[]}"
MOD11A2_005_2015_12_27,2015-12-27,33.96791943512107,"{""type"":""MultiPoint"",""coordinates"":[]}"
